area_type,availability,location,size,society,total_sqft,bath,balcony,price,latitude,longitude,hospital_distance_km,hospital_time_min,playground_distance_km,playground_time_min,kindergarten_distance_km,kindergarten_time_min,metro_distance_km,metro_time_min,busstop_distance_km,busstop_time_min,office_distance_km,office_time_min,school_distance_km,school_time_min,college_distance_km,college_time_min
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,GoandAc,1850,3.0,3.0,100.0,12.9876,77.6106,0.47,3,2.73,2,3.41,8,5.88,24,0.86,7,2.34,20,3.15,14,3.97,27
Super built-up  Area,20-Dec,Judicial Layout,3 BHK,PrarePa,1300,3.0,1.0,64.0,13.0176,77.6406,3.73,11,0.53,6,3.04,5,1.16,22,1.2,6,5.81,28,1.47,8,9.66,27
Built-up  Area,Ready To Move,"Varthur Road, ",3 BHK,GrrvaGr,1595,3.0,2.0,76.0,12.9866,77.6096,4.73,3,0.71,2,1.6,9,4.1,6,1.01,4,14.21,31,0.48,7,5.08,15
Super built-up  Area,19-Dec,Kodihalli,4 BHK,Priesla,3073,5.0,2.0,696.0,12.9796,77.6026,1.77,5,1.15,4,0.94,9,1.26,12,1.94,2,12.96,18,1.57,3,6.07,15
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,GrrvaGr,755,2.0,1.0,37.49,12.9876,77.6106,1.83,7,0.68,3,0.31,8,4.65,12,1.2,4,13.31,12,2.79,5,8.08,29
Built-up  Area,Ready To Move,Nagasandra,5 Bedroom,GrrvaGr,4050,5.0,2.0,140.0,13.0116,77.6346,1.35,12,2.09,6,3.01,9,0.77,17,1.45,4,6.09,11,3.76,9,9.96,20
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,GrrvaGr,1300,2.0,3.0,69.0,12.9856,77.6086,2.27,3,2.27,7,3.1,9,6.3,23,1.12,5,14.15,38,0.41,14,3.21,16
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrrvaGr,1215,2.0,0.0,50.0,12.9976,77.6206,2.47,10,2.29,7,3.48,10,3.45,21,1.69,2,1.42,42,3.66,13,8.44,29
Super built-up  Area,20-Oct,Kanakpura Road,2 BHK,PrarePa,900,2.0,1.0,46.0,12.9856,77.6086,2.94,10,1.79,5,1.27,11,7.95,14,0.95,7,9.67,27,2.51,10,3.67,31
Super built-up  Area,18-Oct,Banashankari Stage III,2 BHK,GrrvaGr,1145,2.0,3.0,58.4,12.9786,77.6016,3.5,2,0.84,7,1.77,7,0.85,9,0.63,3,12.55,23,0.59,13,7.83,12
Super built-up  Area,Ready To Move,Chikka Banaswadi,2 BHK,GrrvaGr,1093,2.0,2.0,65.0,13.0056,77.6286,3.17,14,0.45,3,1.75,6,3.49,17,1.26,5,12.43,22,0.82,8,4.56,28
Super built-up  Area,17-Nov,Babusapalaya,3 BHK,GrrvaGr,1213,2.0,2.0,41.39,12.9986,77.6216,0.67,2,1.52,3,2.23,5,4.68,18,1.3,3,10.76,39,4.61,7,8.93,12
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,PrliaRe,1654,3.0,2.0,100.0,12.9976,77.6206,3.23,11,2.68,3,2.88,8,2.34,10,1.32,2,8.36,10,4.45,11,9.86,25
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,GrrvaGr,1105,2.0,1.0,52.48,12.9736,77.5966,1.12,10,0.9,3,2.41,8,2.49,23,1.04,3,6.54,34,2.45,7,5.6,15
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,GrrvaGr,1611,2.0,2.0,66.0,12.9986,77.6216,2.77,2,1.05,3,0.41,4,3.0,20,1.81,6,6.8,14,4.14,8,3.0,12
Built-up  Area,Ready To Move,Outer Ring Road East,2 BHK,Hoens T,1367,2.0,2.0,62.0,12.9846,77.6076,3.02,8,2.18,8,2.83,9,0.7,22,0.15,7,2.55,41,0.85,5,4.53,15
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Brntsal,1010,2.0,1.0,51.0,13.0146,77.6376,2.29,12,1.09,2,2.54,6,7.98,7,0.56,4,6.47,30,3.75,4,3.39,17
Plot  Area,Ready To Move,Kavika Layout,3 Bedroom,GrrvaGr,750,2.0,1.0,75.0,13.0126,77.6356,2.21,6,2.63,5,2.49,3,1.78,13,1.47,7,3.69,21,3.9,7,5.26,12
Carpet  Area,Ready To Move,Vinayaka Nagar,3 BHK,SVon hn,1535,3.0,1.0,95.0,12.9776,77.6006,2.24,11,2.61,8,3.73,6,1.47,10,1.45,4,1.81,17,3.91,5,7.45,18
Super built-up  Area,Ready To Move,Anekal,2 BHK,GrrvaGr,620,2.0,1.0,22.0,12.9806,77.6036,1.33,7,2.71,3,1.74,6,6.23,15,0.73,5,14.45,18,2.7,7,1.86,17
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,GrrvaGr,982,2.0,1.0,47.65,12.9876,77.6106,4.06,5,2.33,1,1.54,11,2.93,16,0.2,7,14.72,11,2.79,14,5.97,24
Super built-up  Area,Ready To Move,Banashankari Stage II,2 BHK,GrrvaGr,1700,2.0,2.0,150.0,13.0096,77.6326,2.53,3,0.27,7,0.88,6,6.18,17,0.38,6,9.01,42,2.38,8,1.45,32
Super built-up  Area,18-Dec,Whitefield,2 BHK,BSlasin,1330,2.0,1.0,71.0,13.0206,77.6436,2.62,4,1.64,1,1.43,6,5.09,22,1.1,4,6.69,37,1.45,14,8.46,15
Built-up  Area,Ready To Move,JP Nagar,3 Bedroom,Ronty C,2500,3.0,2.0,135.0,13.0136,77.6366,1.09,11,1.48,7,2.6,9,4.81,18,0.29,2,14.67,37,3.26,9,1.03,14
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,GrrvaGr,1475,2.0,2.0,58.99,12.9746,77.5976,2.48,9,1.44,9,2.06,9,6.18,8,1.79,4,13.6,34,3.04,3,3.86,29
Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,BSisear,1410,3.0,1.0,65.0,12.9926,77.6156,2.3,3,2.0,7,2.1,5,7.39,18,0.11,4,10.95,36,4.68,3,4.72,31
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,GrrvaGr,440,1.0,1.0,16.5,13.0026,77.6256,2.19,8,2.28,9,0.63,8,4.07,9,1.53,2,3.2,24,3.78,4,3.53,25
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,PuziaVe,1614,3.0,2.0,95.0,13.0156,77.6386,2.34,13,1.67,7,1.87,5,7.12,16,0.23,3,12.63,22,4.5,14,4.03,29
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,GeereEc,1363,2.0,2.0,68.0,12.9856,77.6086,1.38,4,2.29,8,1.56,3,5.23,18,1.43,1,8.05,15,1.97,12,5.38,20
Built-up  Area,Ready To Move,Kogilu,2 Bedroom,GrrvaGr,650,2.0,0.0,28.0,13.0066,77.6296,4.02,12,0.8,7,2.89,9,7.11,21,1.46,6,1.13,42,1.21,6,8.74,26
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,2 BHK,GrrvaGr,1015,2.0,1.0,45.0,13.0186,77.6416,1.14,3,1.96,5,0.59,7,4.61,13,0.76,2,7.58,30,2.34,13,9.91,26
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,GrrvaGr,1156,2.0,2.0,46.0,12.9736,77.5966,2.79,11,1.87,5,3.11,6,4.59,23,0.43,6,8.76,31,2.37,5,9.33,15
Super built-up  Area,19-Mar,Hennur Busstop,2 BHK,GrrvaGr,1100,2.0,1.0,62.7,12.9946,77.6176,1.75,14,1.07,9,2.08,10,5.76,21,1.38,4,8.99,21,1.41,14,1.46,28
Super built-up  Area,18-Jan,KR Puram,3 BHK,GrrvaGr,1455,3.0,2.0,46.0,13.0156,77.6386,3.65,5,1.56,8,2.72,9,5.73,11,1.55,1,14.83,33,4.45,9,9.6,28
Super built-up  Area,Ready To Move,GB Palya,2 BHK,Ravashw,930,2.0,1.0,45.0,13.0136,77.6366,3.52,10,2.97,7,3.96,5,2.99,13,1.37,7,4.58,41,3.38,10,4.49,19
Built-up  Area,Ready To Move,AMS Layout,3 BHK,GrrvaGr,1650,2.0,2.0,80.0,12.9816,77.6046,3.55,8,2.13,2,3.24,9,3.29,5,1.12,2,7.57,38,3.48,13,3.74,27
Built-up  Area,Ready To Move,KR Puram,2 Bedroom,GrrvaGr,1200,2.0,0.0,90.0,13.0156,77.6386,4.45,10,1.39,6,2.07,9,7.2,10,0.8,3,10.14,37,1.13,6,1.61,27
Plot  Area,Ready To Move,9th Block Jayanagar,1 Bedroom,GrrvaGr,700,1.0,0.0,150.0,12.9746,77.5976,3.95,6,2.15,6,1.63,9,7.82,15,0.63,2,9.09,34,3.88,10,9.49,24
Super built-up  Area,Ready To Move,Karuna Nagar,4 BHK,AjityIn,2900,3.0,2.0,135.0,13.0206,77.6436,1.78,2,1.21,8,3.56,4,5.42,7,1.9,7,5.17,34,0.71,6,3.69,11
Super built-up  Area,18-Mar,Kadugodi,3 BHK,Alestrb,1890,4.0,3.0,127.0,13.0006,77.6236,2.09,4,1.02,3,0.77,5,2.36,24,1.62,4,11.37,12,3.99,14,3.98,28
Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,Vaour S,2197,4.0,3.0,280.0,13.0206,77.6436,4.36,3,1.56,9,1.2,5,0.69,19,0.62,5,11.25,38,3.42,8,3.42,16
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,GonumPl,3522,3.0,2.0,380.0,12.9736,77.5966,4.15,10,1.4,2,3.51,5,2.71,13,0.64,6,4.74,34,1.92,11,2.94,23
Super built-up  Area,18-Apr,Gaurava Nagar,3 BHK,GrrvaGr,1240,2.0,2.0,46.0,13.0106,77.6336,4.62,3,2.86,6,1.18,9,3.58,7,1.9,7,3.07,21,2.32,10,8.38,27
Built-up  Area,Ready To Move,HRBR Layout,2 BHK,Vaaveeh,1440,2.0,2.0,98.0,12.9906,77.6136,4.23,8,2.94,5,0.88,9,7.44,11,1.35,4,7.72,33,4.5,7,7.9,10
Super built-up  Area,Ready To Move,Kodichikkanahalli,1 BHK,GrrvaGr,650,1.0,2.0,38.0,12.9946,77.6176,0.82,13,1.04,6,3.29,6,5.84,9,0.32,2,6.05,27,3.28,3,5.25,16
Super built-up  Area,19-Jun,Budigere,1 BHK,Brstaue,764,1.0,1.0,32.0,12.9966,77.6196,1.79,6,0.29,1,1.87,3,5.93,21,0.15,5,12.09,13,1.07,13,1.18,22
Plot  Area,Ready To Move,Sector 7 HSR Layout,5 Bedroom,GrrvaGr,900,4.0,0.0,90.0,13.0166,77.6396,1.6,3,0.69,7,3.56,8,4.91,19,0.15,2,11.31,10,3.65,6,6.47,10
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,3.0,57.39,12.9956,77.6186,2.02,12,2.79,7,1.37,3,2.52,6,1.4,6,8.52,24,0.63,12,6.84,33
Built-up  Area,Ready To Move,Hoodi,3 BHK,Macanr ,1445,3.0,2.0,65.0,13.0186,77.6416,1.6,4,0.54,2,2.42,9,4.26,20,1.75,6,6.32,20,1.96,3,3.16,24
Super built-up  Area,21-Oct,Kanakpura Road,2 BHK,PrarePa,900,1.0,0.0,45.0,12.9856,77.6086,3.97,13,1.89,9,1.36,3,6.96,11,0.46,3,7.84,32,4.19,12,5.05,19
Super built-up  Area,Ready To Move,Singasandra,2 BHK,GrrvaGr,1030,2.0,2.0,55.0,12.9716,77.5946,3.56,9,0.21,6,3.37,11,7.79,7,0.28,2,7.07,36,4.12,9,3.11,29
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1381,2.0,2.0,52.48,13.0156,77.6386,1.15,3,1.57,1,1.43,9,5.47,23,0.31,1,5.97,17,4.88,5,6.27,23
Built-up  Area,Ready To Move,Basapura,2 BHK,Krtiqa ,1100,2.0,1.0,60.0,13.0126,77.6356,1.06,6,1.28,5,1.38,11,1.66,5,1.56,2,5.33,33,1.69,9,4.45,31
Super built-up  Area,Ready To Move,Hoodi,3 BHK,GrrvaGr,1575,3.0,2.0,66.39,13.0186,77.6416,1.25,6,2.16,7,2.26,8,3.61,9,1.81,4,2.63,33,4.45,12,8.42,23
Plot  Area,Ready To Move,Thigalarapalya,2 Bedroom,GrrvaGr,1200,2.0,1.0,65.0,12.9716,77.5946,1.71,9,1.58,8,2.52,11,0.59,15,0.48,3,13.59,36,4.14,9,3.07,17
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,43.2,12.9826,77.6056,3.48,6,1.51,4,1.07,8,7.96,20,0.12,4,1.24,11,3.37,8,6.75,31
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,GradeMR,1080,2.0,2.0,80.0,12.9796,77.6026,1.97,4,1.91,9,0.25,9,7.11,6,0.27,6,14.81,30,3.7,7,9.66,31
Plot  Area,Ready To Move,Hebbal Kempapura,5 Bedroom,GrrvaGr,2280,5.0,2.0,200.0,12.9736,77.5966,2.24,4,2.13,5,0.93,7,6.74,9,1.52,4,3.16,38,1.32,11,8.64,14
Super built-up  Area,18-Mar,Akshaya Nagar,3 BHK,GrrvaGr,1360,2.0,2.0,85.0,12.9776,77.6006,0.4,5,1.98,3,3.35,9,3.66,20,0.29,5,10.76,39,4.56,11,2.5,20
Super built-up  Area,19-Dec,Jakkur,3 BHK,Ceezey ,1865,3.0,1.0,124.0,13.0056,77.6286,2.5,4,2.66,1,3.57,4,4.4,24,0.78,7,8.42,32,1.67,7,6.92,12
Super built-up  Area,18-Nov,Sarjapur  Road,3 BHK,AsastDe,1157,2.0,1.0,75.0,13.0016,77.6246,2.32,2,0.43,9,2.76,11,6.25,22,0.77,1,14.19,25,1.06,10,8.17,31
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Icingpy,674,2.0,1.0,29.0,12.9996,77.6226,3.48,10,2.88,3,1.21,8,0.54,19,0.48,1,9.27,40,0.61,5,4.27,28
Super built-up  Area,Ready To Move,Whitefield,3 BHK,AdndeBe,1405,2.0,1.0,78.0,13.0206,77.6436,1.17,14,2.06,3,0.92,3,5.61,14,1.9,7,3.41,14,4.4,6,8.06,14
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2.0,2.0,44.08,12.9826,77.6056,3.67,13,0.67,7,0.9,3,4.36,22,0.77,2,9.39,42,1.92,13,7.53,11
Plot  Area,Ready To Move,Kengeri Satellite Town ( BDA SITE),4 Bedroom,GrrvaGr,1600,3.0,1.0,172.0,13.0086,77.6316,3.65,14,1.3,3,3.64,11,7.24,24,1.54,6,4.06,23,4.92,6,2.72,19
Super built-up  Area,21-Mar,Hebbal,3 BHK,Oztarol,1790,3.0,2.0,127.0,12.9846,77.6076,3.19,9,1.0,6,2.16,10,5.91,9,1.76,4,7.8,38,1.74,4,5.08,13
Super built-up  Area,18-May,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,65.65,12.9836,77.6066,1.92,14,2.18,5,2.23,11,0.56,5,1.45,5,11.94,44,0.98,10,5.29,22
Super built-up  Area,Ready To Move,Panathur,2 BHK,Arentpa,1180,2.0,1.0,70.0,12.9846,77.6076,0.48,4,2.99,9,2.01,8,0.68,14,0.44,2,1.9,24,0.78,6,1.23,17
Built-up  Area,Ready To Move,AGS Layout,3 BHK,GrrvaGr,1450,2.0,2.0,85.0,12.9996,77.6226,1.34,2,2.62,8,2.8,11,5.36,18,1.92,5,7.7,22,4.53,13,6.48,28
Built-up  Area,18-Mar,Kengeri,1 BHK,GrrvaGr,340,1.0,1.0,10.0,12.9976,77.6206,4.66,9,2.6,2,2.26,9,3.72,8,1.64,3,1.12,15,2.08,5,3.86,28
Built-up  Area,Ready To Move,Srinagar,4 Bedroom,GrrvaGr,2000,3.0,1.0,166.0,13.0056,77.6286,4.42,13,1.29,2,2.63,3,3.56,11,1.24,3,14.07,34,2.01,14,1.06,15
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,GrrvaGr,1050,2.0,2.0,53.5,12.9836,77.6066,1.15,2,1.36,1,3.73,6,7.57,13,0.58,4,7.82,43,0.58,9,3.95,22
Super built-up  Area,Ready To Move,Varthur,2 BHK,Pethaai,1125,2.0,2.0,40.0,12.9746,77.5976,1.74,4,0.69,1,3.06,5,3.92,20,0.27,6,13.67,38,4.8,12,1.13,12
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2.0,1.0,68.0,12.9906,77.6136,0.25,12,1.18,1,1.12,6,0.83,23,1.25,2,1.44,28,4.53,6,5.17,22
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SrisePo,1372,2.0,1.0,61.0,12.9996,77.6226,1.69,3,1.92,6,1.3,3,5.95,12,1.57,4,6.74,27,1.12,6,7.15,31
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1330,2.0,1.0,56.0,12.9906,77.6136,4.04,12,2.54,7,3.25,3,1.09,10,0.69,6,10.13,32,1.75,3,8.59,13
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,2465,5.0,2.0,234.0,12.9836,77.6066,2.94,4,0.27,9,2.15,6,5.09,7,0.34,3,4.41,11,0.67,13,1.62,10
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,GrrvaGr,1300,2.0,3.0,55.0,13.0146,77.6376,4.37,10,2.84,1,0.7,9,3.05,7,0.45,6,4.42,43,1.88,8,8.47,28
Plot  Area,Ready To Move,Brigade Road,2 Bedroom,GrrvaGr,1420,1.0,0.0,220.0,12.9916,77.6146,4.82,13,0.8,4,0.44,6,7.23,8,1.5,1,14.23,26,1.84,4,1.43,26
Plot  Area,Ready To Move,Bannerghatta,4 Bedroom,GrrvaGr,810,4.0,1.0,50.0,12.9736,77.5966,1.26,8,0.68,7,0.83,4,6.13,16,1.77,5,9.56,32,4.68,8,4.51,14
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1065,2.0,1.0,35.0,12.9956,77.6186,2.86,8,1.25,7,1.89,6,7.47,12,1.94,7,6.8,20,4.4,3,4.91,31
Built-up  Area,Ready To Move,Hessarghatta,2 BHK,GrrvaGr,700,2.0,0.0,27.0,12.9796,77.6026,3.82,10,1.95,3,0.36,7,2.63,23,1.22,1,10.11,17,3.01,9,7.84,15
Carpet  Area,18-Mar,Hebbal,2 BHK,Arcia S,547.34 - 827.31,2.0,0.0,42.72,12.9846,77.6076,3.18,10,1.75,5,0.55,7,7.77,13,1.54,2,5.32,39,3.03,8,6.72,29
Super built-up  Area,Ready To Move,Belathur,2 BHK,Viiniai,1050,2.0,1.0,45.0,12.9906,77.6136,1.45,3,0.83,8,2.99,11,4.16,17,0.8,7,14.7,23,4.31,3,3.18,18
Super built-up  Area,18-Apr,Maruthi HBCS Layout,3 BHK,GrrvaGr,1250,3.0,3.0,39.5,12.9976,77.6206,4.89,2,2.88,5,3.72,4,4.53,15,1.58,1,6.29,24,0.99,13,2.49,29
Built-up  Area,Ready To Move,Electronic City,2 BHK,Palleon,865,2.0,0.0,42.0,12.9836,77.6066,3.44,13,1.83,2,0.4,8,1.84,9,1.16,3,3.41,15,2.21,13,4.57,33
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrrvaGr,1200,2.0,2.0,44.0,12.9906,77.6136,0.25,8,2.48,8,0.97,11,1.32,16,1.83,1,8.33,32,1.02,7,8.68,24
Built-up  Area,Ready To Move,Srirampura,3 BHK,NRnoral,1756,3.0,3.0,100.0,13.0136,77.6366,2.68,8,2.75,2,0.64,5,3.28,15,0.52,6,13.3,40,4.65,12,3.46,31
Plot  Area,Ready To Move,Malleshwaram,9 Bedroom,GrrvaGr,750,8.0,2.0,150.0,12.9866,77.6096,1.0,13,1.26,2,2.38,9,5.08,10,1.49,1,5.78,44,4.34,10,4.46,11
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,Ardanru,628,1.0,1.0,24.0,13.0156,77.6386,3.67,9,0.77,6,3.23,4,5.91,22,1.28,5,11.16,17,3.32,13,7.45,11
Plot  Area,Ready To Move,9th Phase JP Nagar,7 Bedroom,GrrvaGr,1200,6.0,2.0,195.0,12.9756,77.5986,0.51,3,1.96,9,1.86,7,5.46,23,1.7,2,2.83,28,1.8,5,9.18,21
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,GrrvaGr,1207,2.0,2.0,63.0,13.0026,77.6256,1.84,2,1.08,5,0.33,3,1.56,14,1.4,5,7.28,37,4.71,5,4.38,32
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,KlarkBe,1765,3.0,1.0,125.0,12.9756,77.5986,1.7,4,1.21,2,1.63,5,0.72,7,0.77,1,2.75,12,4.54,6,2.13,21
Built-up  Area,18-Dec,Electronic City,2 BHK,GrrvaGr,1130,2.0,1.0,32.64,12.9836,77.6066,4.48,12,0.5,7,0.84,7,5.71,23,1.72,6,5.04,29,0.64,5,4.89,14
Super built-up  Area,18-Jun,Devanahalli Road,3 BHK,Ozana U,1532,3.0,3.0,92.0,12.9976,77.6206,4.39,12,2.48,7,1.25,8,2.26,23,0.12,3,9.6,29,2.04,8,9.14,12
Built-up  Area,Ready To Move,Ejipura,3 BHK,DSncele,1650,3.0,0.0,110.0,12.9786,77.6016,4.15,13,2.36,5,0.63,8,1.68,10,1.41,1,3.83,39,1.01,7,6.51,33
Built-up  Area,18-May,Horamavu Banaswadi,4 Bedroom,GrrvaGr,1200,4.0,2.0,105.0,12.9736,77.5966,3.78,4,1.95,5,1.58,8,7.93,24,0.38,7,7.57,13,4.49,3,3.55,13
Carpet  Area,18-Dec,Bhoganhalli,2 BHK,Rosha I,804.1,2.0,1.0,69.09,12.9926,77.6156,4.78,13,1.2,6,2.3,3,6.46,5,0.76,2,10.96,19,1.42,3,7.06,33
Super built-up  Area,18-Apr,Doddathoguru,2 BHK,GrrvaGr,1200,2.0,2.0,75.0,13.0096,77.6326,1.12,14,2.91,5,3.18,5,1.21,5,1.62,7,2.73,36,4.92,9,6.54,34
Super built-up  Area,Ready To Move,Kengeri,2 BHK,GrrvaGr,1197,2.0,2.0,50.0,12.9976,77.6206,4.14,11,1.14,9,1.65,5,2.24,11,1.86,7,1.89,26,4.86,7,5.03,21
Built-up  Area,Ready To Move,Green Woods Layout,2 BHK,Paarklu,1200,2.0,2.0,66.0,13.0056,77.6286,3.43,6,1.89,5,0.21,3,6.48,20,1.39,4,6.75,33,4.97,7,1.87,19
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Shony S,1385,2.0,2.0,48.48,12.9906,77.6136,3.57,9,0.53,8,2.75,8,1.46,21,0.51,6,5.44,33,1.69,8,9.38,32
Super built-up  Area,Ready To Move,Craig Park Layout,2 BHK,Cearkry,1010,2.0,3.0,148.0,13.0156,77.6386,2.25,2,0.51,4,2.83,4,6.6,23,1.23,3,13.02,31,4.8,7,4.71,26
Super built-up  Area,Ready To Move,Whitefield,3 BHK,UKe 2nz,2225,3.0,3.0,115.0,13.0206,77.6436,3.33,4,2.87,9,0.7,3,1.23,5,0.15,1,13.48,24,1.1,10,6.83,24
Super built-up  Area,Ready To Move,Immadihalli,2 BHK,Niimet ,1180,2.0,2.0,48.0,12.9776,77.6006,1.34,7,2.21,6,2.05,10,1.2,24,0.38,1,1.88,18,3.15,4,7.36,24
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,GrrvaGr,1525,2.0,3.0,122.0,13.0046,77.6276,2.75,13,0.18,3,0.39,3,3.85,5,0.41,3,4.9,25,4.34,11,1.39,12
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,GrrvaGr,1100,2.0,2.0,31.5,12.9956,77.6186,4.86,5,1.95,8,2.56,8,3.95,18,0.31,7,5.09,19,4.48,5,9.26,26
Super built-up  Area,Ready To Move,Hiremath Layout,3 BHK,GrrvaGr,1435,3.0,3.0,70.0,13.0136,77.6366,3.49,13,0.24,8,3.61,9,6.94,21,0.43,3,9.79,10,3.77,10,3.05,14
Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 2hu,400,1.0,1.0,14.0,13.0036,77.6266,3.44,11,2.26,1,1.76,3,2.36,6,1.94,3,2.82,17,3.59,9,7.8,20
Super built-up  Area,Ready To Move,Dommasandra,2 BHK,Asene S,1200,2.0,2.0,50.0,12.9746,77.5976,1.33,10,0.26,8,1.99,5,4.61,19,0.62,7,8.94,16,3.3,11,4.18,16
Super built-up  Area,21-Mar,Whitefield,2 BHK,PritaDo,1272,2.0,1.0,95.05,13.0206,77.6436,4.24,3,1.17,3,3.83,6,0.66,20,1.68,7,4.15,21,2.1,13,8.45,33
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1205,2.0,1.0,39.0,13.0206,77.6436,4.63,4,1.19,5,2.98,11,0.6,18,0.73,2,4.68,14,3.12,12,3.61,16
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,ARomee ,980,2.0,1.0,40.0,12.9756,77.5986,0.72,14,1.82,1,3.63,9,6.13,21,1.71,1,12.54,40,2.03,10,4.83,22
Super built-up  Area,18-May,Malleshpalya,2 BHK,GrrvaGr,1225,2.0,2.0,46.86,12.9976,77.6206,2.37,3,0.72,5,0.73,7,5.16,18,0.99,1,5.91,38,2.29,5,9.09,15
Built-up  Area,Ready To Move,Whitefield,3 BHK,GrrvaGr,1541,3.0,1.0,72.0,13.0206,77.6436,3.4,3,2.11,2,1.99,8,3.74,16,0.59,4,9.75,44,3.54,14,8.33,10
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,1610,2.0,2.0,111.0,13.0206,77.6436,4.44,12,1.65,6,1.39,9,4.35,7,0.8,3,14.85,36,4.07,5,3.69,25
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Tahtsla,1694,2.0,2.0,125.0,12.9796,77.6026,2.78,14,1.07,6,2.56,9,4.12,11,1.3,6,13.92,35,2.27,4,3.05,24
Plot  Area,Ready To Move,Jnanabharathi Layout,3 Bedroom,GrrvaGr,600,3.0,2.0,75.0,13.0206,77.6436,2.22,14,2.34,2,3.32,10,6.06,19,0.62,4,7.34,25,2.09,13,3.58,29
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,950,2.0,1.0,39.0,12.9896,77.6126,0.39,11,1.85,4,0.73,11,2.45,18,0.15,3,4.72,33,0.41,10,5.18,25
Super built-up  Area,Ready To Move,Muneshwara Nagar,3 BHK,Laderav,1560,2.0,3.0,66.0,12.9746,77.5976,2.85,5,2.7,7,2.98,5,5.85,10,1.09,7,4.18,40,4.57,11,6.76,30
Super built-up  Area,Ready To Move,Chandapura,2 BHK,GrrvaGr,1201,2.0,2.0,27.0,12.9986,77.6216,1.78,13,1.61,8,2.35,8,5.65,6,1.3,2,9.93,28,4.5,14,2.48,11
Plot  Area,Ready To Move,Chandapura,2 Bedroom,GrrvaGr,1500,2.0,1.0,60.0,12.9986,77.6216,4.97,4,1.02,9,0.58,9,3.21,18,1.47,5,6.85,14,2.47,9,3.62,27
Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,GrrvaGr,1785,3.0,2.0,75.0,12.9976,77.6206,3.07,9,0.12,1,3.15,9,6.94,9,0.5,7,7.77,18,2.04,9,9.18,22
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1258,2.0,1.0,63.53,12.9956,77.6186,1.23,7,1.76,7,2.3,8,6.45,7,1.29,1,12.0,36,2.5,6,9.81,15
Super built-up  Area,Ready To Move,Electronic City,2 BHK,CoapeSo,910,2.0,2.0,42.0,12.9836,77.6066,4.96,2,2.72,7,1.39,4,2.3,22,1.38,2,12.2,15,1.02,7,7.56,13
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,GrrvaGr,1297,2.0,2.0,112.0,12.9716,77.5946,3.04,7,0.48,4,0.69,9,3.74,18,0.52,3,10.19,41,2.66,3,2.54,18
